snapshot;on_wind;battery_storage;hydrogen_storage;PEM input;Compressor input (MW_H2);PEM output;Compressor output (MW_H2);Compressor;Electrolyzer BoP consumption  (MW);demand
6815;36.78;-12.93;-5.87;21.61;12.53;-12.53;-12.53;2.25;0.0;6.67
6816;37.55;-13.69;-5.87;21.61;12.53;-12.53;-12.53;2.25;0.0;6.67
6817;27.38;-3.53;-5.87;21.61;12.53;-12.53;-12.53;2.25;0.0;6.67
6818;20.66;0.0;-4.19;18.71;10.85;-10.85;-10.85;1.95;0.0;6.67
6819;17.38;0.0;-2.47;15.74;9.13;-9.13;-9.13;1.64;0.0;6.67
6820;12.38;0.0;0.16;11.21;6.5;-6.5;-6.5;1.17;0.0;6.67
6821;8.2;0.0;5.69;7.43;4.31;-4.31;-4.31;0.77;0.0;10.0
6822;5.74;0.0;6.98;5.2;3.02;-3.02;-3.02;0.54;0.0;10.0
6823;4.35;0.96;7.21;4.8;2.79;-2.79;-2.79;0.5;0.0;10.0
6824;2.95;2.35;7.21;4.8;2.79;-2.79;-2.79;0.5;0.0;10.0
6825;2.3;3.01;7.21;4.8;2.79;-2.79;-2.79;0.5;0.0;10.0
6826;1.8;3.5;7.21;4.8;2.79;-2.79;-2.79;0.5;0.0;10.0
6827;1.39;3.91;7.21;4.8;2.79;-2.79;-2.79;0.5;0.0;10.0
6828;1.23;4.07;7.21;4.8;2.79;-2.79;-2.79;0.5;0.0;10.0
6829;1.07;4.24;7.21;4.8;2.79;-2.79;-2.79;0.5;0.0;10.0
6830;1.39;3.91;7.21;4.8;2.79;-2.79;-2.79;0.5;0.0;10.0
6831;2.13;3.17;7.21;4.8;2.79;-2.79;-2.79;0.5;0.0;10.0
6832;4.26;1.04;7.21;4.8;2.79;-2.79;-2.79;0.5;0.0;10.0
6833;7.3;0.0;6.17;6.61;3.83;-3.83;-3.83;0.69;0.0;10.0
6834;8.61;0.0;5.48;7.8;4.52;-4.52;-4.52;0.81;0.0;10.0
6835;9.1;0.0;1.89;8.24;4.78;-4.78;-4.78;0.86;0.0;6.67
6836;10.82;0.0;0.98;9.8;5.69;-5.69;-5.69;1.02;0.0;6.67
6837;12.69;0.0;0.0;11.49;6.67;-6.67;-6.67;1.2;0.0;6.67
6838;12.69;0.0;0.0;11.49;6.67;-6.67;-6.67;1.2;0.0;6.67
6839;12.69;0.0;0.0;11.49;6.67;-6.67;-6.67;1.2;0.0;6.67
6840;12.69;0.0;0.0;11.49;6.67;-6.67;-6.67;1.2;0.0;6.67
6841;12.69;0.0;0.0;11.49;6.67;-6.67;-6.67;1.2;0.0;6.67
6842;12.69;0.0;0.0;11.49;6.67;-6.67;-6.67;1.2;0.0;6.67
6843;12.69;0.0;0.0;11.49;6.67;-6.67;-6.67;1.2;0.0;6.67
6844;12.69;0.0;0.0;11.49;6.67;-6.67;-6.67;1.2;0.0;6.67
