;on_wind;pv;PEM input;battery_storage;Compressor;hydrogen_storage;Curtailment
34;26.56;1.91;-22.53;-3.6;-2.34;-3.07;-0.0
35;24.19;2.75;-22.53;-2.06;-2.34;-3.07;-0.0
36;20.21;2.19;-20.29;0.0;-2.11;-1.77;-0.0
37;14.99;1.82;-15.22;0.0;-1.58;1.17;-0.0
38;12.35;0.84;-11.95;0.0;-1.24;3.07;-0.0
39;12.83;-0.0;-11.62;0.0;-1.21;3.26;-0.0
40;13.6;-0.0;-12.32;0.0;-1.28;2.85;-0.0
41;14.55;-0.0;-13.18;0.0;-1.37;2.35;-0.0
42;15.63;-0.0;-14.16;0.0;-1.47;1.79;-0.0
43;16.07;-0.0;-14.55;0.0;-1.51;-1.77;-0.0
44;15.98;-0.0;-14.47;0.0;-1.51;-1.73;-0.0
45;15.33;-0.0;-13.89;0.0;-1.44;-1.39;-0.0
46;15.76;-0.0;-14.28;0.0;-1.48;-1.62;-0.0
47;14.55;-0.0;-13.18;0.0;-1.37;-0.98;-0.0
48;13.13;-0.0;-11.89;0.0;-1.24;-0.23;-0.0
49;12.22;-0.0;-11.07;0.0;-1.15;0.24;-0.0
